Data		Hora       Temp_atual	Temp_med	Temp_min	Temp_max      Umi_atual     Umi_med     Umi_min     Umi_max
02/10/2024	15:16:10    130.00 °C	 31.70 °C	26.43 °C	 130.00 °C     100.00 RH      46.33 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:15    29.22 °C	 31.69 °C	26.43 °C	 130.00 °C     61.20 RH      46.42 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:20    130.00 °C	 32.29 °C	26.43 °C	 130.00 °C     100.00 RH      46.75 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:25    130.00 °C	 32.89 °C	26.43 °C	 130.00 °C     100.00 RH      47.08 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:30    29.72 °C	 32.87 °C	26.43 °C	 130.00 °C     63.90 RH      47.18 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:35    130.00 °C	 33.45 °C	26.43 °C	 130.00 °C     100.00 RH      47.50 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:40    29.86 °C	 33.43 °C	26.43 °C	 130.00 °C     55.68 RH      47.55 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:45    29.92 °C	 33.41 °C	26.43 °C	 130.00 °C     51.49 RH      47.57 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:50    29.87 °C	 33.39 °C	26.43 °C	 130.00 °C     45.95 RH      47.56 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:55    29.75 °C	 33.37 °C	26.43 °C	 130.00 °C     43.08 RH      47.53 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:00    29.77 °C	 33.35 °C	26.43 °C	 130.00 °C     59.28 RH      47.60 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:05    29.55 °C	 33.32 °C	26.43 °C	 130.00 °C     75.92 RH      47.77 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:10    28.87 °C	 33.30 °C	26.43 °C	 130.00 °C     77.72 RH      47.94 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:15    28.31 °C	 33.27 °C	26.43 °C	 130.00 °C     76.16 RH      48.10 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:20    27.84 °C	 33.24 °C	26.43 °C	 130.00 °C     75.95 RH      48.26 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:25    27.49 °C	 33.21 °C	26.43 °C	 130.00 °C     76.27 RH      48.42 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:30    27.15 °C	 33.17 °C	26.43 °C	 130.00 °C     76.24 RH      48.58 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:35    26.81 °C	 33.14 °C	26.43 °C	 130.00 °C     75.54 RH      48.73 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:40    26.50 °C	 33.10 °C	26.43 °C	 130.00 °C     75.09 RH      48.88 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:45    26.26 °C	 33.06 °C	26.26 °C	 130.00 °C     75.23 RH      49.02 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:50    26.06 °C	 33.02 °C	26.06 °C	 130.00 °C     75.35 RH      49.17 RH    40.76 RH    100.00 RH   
02/10/2024	15:17:55    25.89 °C	 32.98 °C	25.89 °C	 130.00 °C     75.83 RH      49.31 RH    40.76 RH    100.00 RH   
02/10/2024	15:18:00    25.74 °C	 32.94 °C	25.74 °C	 130.00 °C     75.93 RH      49.46 RH    40.76 RH    100.00 RH   
02/10/2024	15:18:05    25.65 °C	 32.90 °C	25.65 °C	 130.00 °C     75.76 RH      49.60 RH    40.76 RH    100.00 RH   
02/10/2024	15:18:10    25.50 °C	 32.86 °C	25.50 °C	 130.00 °C     75.93 RH      49.75 RH    40.76 RH    100.00 RH   
02/10/2024	15:18:15    25.44 °C	 32.82 °C	25.44 °C	 130.00 °C     75.67 RH      49.88 RH    40.76 RH    100.00 RH   
02/10/2024	15:18:20    25.36 °C	 32.78 °C	25.36 °C	 130.00 °C     75.80 RH      50.02 RH    40.76 RH    100.00 RH   
02/10/2024	15:18:25    25.30 °C	 32.74 °C	25.30 °C	 130.00 °C     76.02 RH      50.16 RH    40.76 RH    100.00 RH   
02/10/2024	15:18:30    25.29 °C	 32.70 °C	25.29 °C	 130.00 °C     76.25 RH      50.30 RH    40.76 RH    100.00 RH   
